state_abbr,census_count_thousands,correct_same_county,correct_diff_county,erroneous_diff_state,erroneous_dup,erroneous_other,whole_person_imputation,pop_estimate_thousands,correct,pct_undercount,omissions
AL,4663.9,92,0.5,0.2,3.9,0.6,2.8,4670.2,92.3,0.13,7.7
AK,629.1,93.2,0.6,0.4,3.8,0.7,1.4,623.8,94.5,-0.85,5.5
AZ,6252.6,92,0.3,0.7,2.9,0.7,3.4,6226.5,92.7,-0.42,7.3
AR,2837,93.8,0.3,0.4,3.4,0.4,1.6,2825.5,94.6,-0.41,5.4
CA,36434.1,94.9,0.3,0.3,2.3,0.7,1.7,36529.8,94.9,0.26,5.1
CO,4913.3,93.6,0.2,0.4,2.1,0.4,3.3,4899.2,94.1,-0.29,5.9
CT,3455.9,95.5,0.2,0.2,2.3,0.4,1.3,3440.3,96.1,-0.45,3.9
DE,873.5,94.2,0.2,0.4,2,0.4,2.8,878.3,93.8,0.55,6.2
DC,561.7,93.1,0,0.3,3,0.7,2.9,574.5,91,2.23,9
FL,18379.6,92.6,0.3,0.6,3.2,0.7,2.7,18463,92.5,0.45,7.5
GA,9434.5,93.3,0.3,0.2,2.3,0.5,3.3,9521.5,92.7,0.91,7.3
HI,1317.4,91.6,0.2,0.4,4,0.7,3,1311.6,92.2,-0.44,7.8
ID,1538.6,93.9,0.3,0.2,2.5,0.5,2.6,1538.1,94.2,-0.03,5.8
IL,12528.9,94.8,0.2,0.3,2.6,0.4,1.8,12469.1,95.4,-0.48,4.6
IN,6296.9,95.5,0.2,0.2,2.8,0.2,1.1,6254.9,96.4,-0.67,3.6
IA,2948.2,96.8,0.3,0.2,1.5,0.3,0.9,2940,97.4,-0.28,2.6
KS,2774,95.3,0.3,0.3,3.1,0.3,0.7,2755.5,96.3,-0.67,3.7
KY,4213.5,94,0.4,0.3,3.2,0.2,1.8,4208,94.5,-0.13,5.5
LA,4405.9,92.4,0.5,0.5,2.8,0.8,3.1,4389.2,93.2,-0.38,6.8
ME,1292.8,96,0.3,0.3,1.7,0.5,1.1,1301.3,95.8,0.65,4.2
MD,5635.2,94.6,0.3,0.3,2.5,0.6,1.8,5688.4,94,0.94,6
MA,6308.7,93.7,0.2,0.3,4.3,0.5,1.1,6276.4,94.3,-0.52,5.7
MI,9654.6,94.6,0.3,0.4,2.7,0.4,1.6,9591.6,95.5,-0.66,4.5
MN,5168.5,94.8,0.2,0.2,3.3,0.3,1,5139.7,95.6,-0.56,4.4
MS,2875.3,91,0.3,0.4,5.5,0.9,1.9,2882.3,91.1,0.24,8.9
MO,5814.8,94.5,0.4,0.3,2.8,0.3,1.8,5776.8,95.5,-0.66,4.5
MT,960.6,93,0.2,0.2,3.3,0.2,2.9,954.3,93.9,-0.65,6.1
NE,1775.2,96,0.4,0.2,1.6,0.6,1.3,1765.6,96.9,-0.54,3.1
NV,2664.4,92.9,0.1,0.4,2,0.5,4.1,2663.3,93.1,-0.04,6.9
NH,1276.4,95.5,0.1,0.3,2.4,0.6,1.1,1284.1,95,0.6,5
NJ,8605,95,0.1,0.2,2.6,0.5,1.6,8574,95.5,-0.36,4.5
NM,2016.6,91.9,0.3,0.2,3.3,0.5,3.8,2013.3,92.3,-0.16,7.7
NY,18792.4,92.9,0.3,0.3,4,0.5,2.1,18644.3,93.9,-0.79,6.1
NC,9278.2,92.6,0.3,0.3,3.6,0.4,2.8,9326.9,92.4,0.52,7.6
ND,647.5,95.8,0.4,0.6,2,0.3,0.9,648.1,96.1,0.09,3.9
OH,11230.2,95.4,0.3,0.3,2.3,0.3,1.4,11137.6,96.5,-0.83,3.5
OK,3639.3,92.1,0.5,0.4,5,0.7,1.4,3600.4,93.6,-1.08,6.4
OR,3744.4,95.8,0.2,0.2,1.9,0.3,1.6,3745.4,96,0.02,4
PA,12276.3,95.4,0.2,0.3,2.4,0.4,1.2,12293.7,95.5,0.14,4.5
RI,1009.9,93.1,0.2,0.3,3.6,1.1,1.7,1001.8,94.1,-0.81,5.9
SC,4486.2,94.9,0.2,0.4,1.9,0.5,2.1,4504.5,94.8,0.41,5.2
SD,780.1,95.1,0.1,0.2,2.4,0.3,1.9,780.9,95.1,0.1,4.9
TN ,6192.6,94.1,0.3,0.3,2.8,0.4,2.2,6199.8,94.2,0.12,5.8
TX ,24564.4,93.6,0.3,0.3,2.7,0.6,2.6,24803.9,93.1,0.97,6.9
UT,2717.7,94.2,0.4,0.5,3.1,0.4,1.4,2704.9,95.1,-0.48,4.9
VT,600.4,95.6,0.3,0.2,2.8,0.6,0.5,608.3,94.6,1.29,5.4
VA,7761.2,94.3,0.5,0.3,2.4,0.6,1.9,7805.5,94.2,0.57,5.8
WA,6585.2,95.2,0.2,0.3,2.1,0.5,1.6,6578.3,95.5,-0.1,4.5
WV,1803.6,90.8,0.2,0.5,6.7,0.5,1.3,1778.1,92.3,-1.43,7.7
WI,5536.8,95.5,0.2,0.3,2.5,0.4,1.2,5527.5,95.9,-0.17,4.1
WY,549.9,92.9,0.3,0.5,3.3,0.4,2.6,547.1,93.6,-0.51,6.4